drug,S,I,R,tested,pct_S
gentamicin,5843.0,72.0,443.0,6358,91.9
trimethoprim-sulfamethoxazole,5108.0,10.0,1041.0,6159,82.9
ceftriaxone,3836.0,55.0,588.0,4479,85.6
meropenem,4134.0,36.0,71.0,4241,97.5
ciprofloxacin,3077.0,72.0,988.0,4137,74.4
ceftazidime,3577.0,113.0,421.0,4111,87.0
cefepime,3590.0,71.0,422.0,4083,87.9
piperacillin-tazobactam,3739.0,77.0,152.0,3968,94.2
ampicillin,1776.0,27.0,1731.0,3534,50.3
vancomycin,2751.0,9.0,450.0,3210,85.7
ampicillin-sulbactam,1992.0,443.0,756.0,3191,62.4
cefazolin,2288.0,22.0,709.0,3019,75.8
levofloxacin,2016.0,18.0,707.0,2741,73.5
penicillin-g,1746.0,161.0,701.0,2608,66.9
oxacillin,1455.0,0.0,779.0,2234,65.1
daptomycin,1153.0,9.0,0.0,1162,99.2
linezolid,631.0,1.0,5.0,637,99.1
