variable,level,primary_frame_value,primary_frame_pct,primary_frame_display,admission_linked_value,admission_linked_pct,admission_linked_display,full_cohort_value,full_cohort_pct,full_cohort_display
N,cases,993.0,,993,3107.0,,3107,7796.0,,7796
N,unique subjects,993.0,,993,3107.0,,3107,7796.0,,7796
Age at index (years),median [IQR],67.0,,67 [57-77],65.0,,65 [54-76],66.0,,66 [55-77]
Age at index (years),mean (SD),65.7,,65.7 (15.5),63.9,,63.9 (16.2),64.7,,64.7 (16.6)
Sex,female,438.0,44.1,438 (44.1%),1268.0,40.8,1268 (40.8%),3360.0,43.1,3360 (43.1%)
Sex,male,555.0,55.9,555 (55.9%),1839.0,59.2,1839 (59.2%),4436.0,56.9,4436 (56.9%)
Sex,other/missing,0.0,0.0,0 (0.0%),0.0,0.0,0 (0.0%),0.0,0.0,0 (0.0%)
ICU at index,index_time within an ICU stay,246.0,24.8,246 (24.8%),838.0,27.0,838 (27.0%),838.0,10.7,838 (10.7%)
ICU any time during linked admission,any ICU stay on hadm_id_final,537.0,54.1,537 (54.1%),1718.0,55.3,1718 (55.3%),1718.0,22.0,1718 (22.0%)
Admission-linked,hadm_id_final not null,993.0,100.0,993 (100.0%),3107.0,100.0,3107 (100.0%),3107.0,39.9,3107 (39.9%)
In-hospital mortality (POST-INDEX; descriptive only),"died, % of admission-linked cases",162.0,16.3,162 (16.3%),602.0,19.4,602 (19.4%),602.0,19.4,602 (19.4%)
In-hospital mortality (POST-INDEX; descriptive only),mortality status unknown (no linked admission),0.0,0.0,0 (0.0%),0.0,0.0,0 (0.0%),4689.0,60.1,4689 (60.1%)
Organism (pathogenic isolates; cases may have >1),ESCHERICHIA COLI,532.0,53.6,532 (53.6%),601.0,19.3,601 (19.3%),1921.0,24.6,1921 (24.6%)
Organism (pathogenic isolates; cases may have >1),KLEBSIELLA PNEUMONIAE,210.0,21.1,210 (21.1%),250.0,8.0,250 (8.0%),650.0,8.3,650 (8.3%)
Organism (pathogenic isolates; cases may have >1),SERRATIA MARCESCENS,66.0,6.6,66 (6.6%),74.0,2.4,74 (2.4%),129.0,1.7,129 (1.7%)
Organism (pathogenic isolates; cases may have >1),ENTEROBACTER CLOACAE COMPLEX,54.0,5.4,54 (5.4%),67.0,2.2,67 (2.2%),137.0,1.8,137 (1.8%)
